2023-07-13 15:08:43.177 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 15:09:52.494 INFO | [MainThread] chat [75] | chat-review.py chat_review | 单项目的commit内容： {'old_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'new_path': 'urge_repayment_job/src/main/java/com/fujfu/urge/repayment/job/inner/M2RenhangReportDownloadJob.java', 'a_mode': '100644', 'b_mode': '100644', 'new_file': False, 'renamed_file': False, 'deleted_file': False, 'diff': '@@ -60,12 +60,14 @@ public class M2RenhangReportDownloadJob extends BaseJob {\n         String currentMonth = DateUtil.beforeMonth(0).substring(0,DateUtil.beforeMonth(0).length() - 1);\n         //查询当月已经发起报告申请，但未成功下载，请求下载次数小于等于3的客户\n         List<InnerRhCusmoterListDO> list = innerRhCusmoterListDOMapper.findWaittingDownloadCusmoter(currentMonth);\n+        log.info("待下载人行报告客户list={}",list);\n         for(InnerRhCusmoterListDO innerRhCusmoterListDO : list){\n             String creditId = innerRhCusmoterListDO.getCreditId();\n             //发起下载\n             RenhangReportDownloadMO downloadMO = new RenhangReportDownloadMO();\n             downloadMO.setCertId(creditId);\n             ResponseMO responseMO = creditReportWebClient.reportDownload(downloadMO);\n+            log.info("请求人行报告下载返回responseMO={}",responseMO);\n             if (CommonConstants.RESPONSE_CODE_SUCCESS == responseMO.getCode()) {\n                 //更新状态为成功下载\n                 innerRhCusmoterListDO.setIsSuccess("1");\n'}
2023-07-13 15:11:54.960 ERROR | [MainThread] chat [82] | chat-review.py chat_review | 出现异常，异常信息：You exceeded your current quota, please check your plan and billing details.
2023-07-13 16:37:25.929 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 16:37:41.548 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 16:37:50.513 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:03:11.397 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:05:37.124 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:06:39.497 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:07:46.367 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:07:56.672 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:08:33.184 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:08:43.855 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:08:48.298 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:09:04.294 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:09:30.508 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:09:38.501 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:09:51.274 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:10:06.977 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:14:43.861 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:17:26.133 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:19:20.411 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:19:44.104 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:19:55.035 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:21:05.864 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:21:56.275 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:23:34.221 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:37:12.637 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:42:02.777 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:42:44.555 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:43:13.901 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:43:56.979 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:44:50.051 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:45:00.349 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:45:06.776 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:45:45.563 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:47:21.749 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:47:52.928 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:48:00.695 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:48:21.208 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:48:59.445 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:49:11.604 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:49:15.782 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:49:47.391 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:50:22.321 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:50:37.979 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:53:56.511 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:55:12.834 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:55:20.151 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:55:53.550 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 17:57:01.982 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:01:01.068 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:01:27.872 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:09:47.575 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:10:03.890 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:34:09.663 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:37:49.752 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:43:04.519 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:43:26.453 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 18:44:33.028 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 19:13:23.897 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 19:13:42.322 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 19:14:10.296 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-13 19:16:32.068 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
